ID,Negara,Benua,NamaKomoditi,Tahun,Volume,Nilai,NegaraID,KomoditiID
387,Kanada,Amerika,semua komoditi - all commodities,2002,2645,13473,15,0
388,UK,Eropa,semua komoditi - all commodities,2002,11372,47202,16,0
389,Belanda,Eropa,semua komoditi - all commodities,2002,8080,23133,17,0
390,Perancis,Eropa,semua komoditi - all commodities,2002,6809,16477,18,0
391,Jerman,Eropa,semua komoditi - all commodities,2002,4777,17680,19,0
392,Belgia dan Luksemburg,Eropa,semua komoditi - all commodities,2002,8753,37560,20,0
393,Swedia,Eropa,semua komoditi - all commodities,2002,263,1309,21,0
394,Denmark,Eropa,semua komoditi - all commodities,2002,4335,4534,22,0
395,Irlandia,Eropa,semua komoditi - all commodities,2002,367,1629,23,0
396,Italia,Eropa,semua komoditi - all commodities,2002,1115,3265,24,0
397,Spanyol,Eropa,semua komoditi - all commodities,2002,7050,7654,25,0
398,Yunani,Eropa,semua komoditi - all commodities,2002,176,353,26,0
399,Bulgaria,Eropa,semua komoditi - all commodities,2002,780,2199,27,0
400,Polandia,Eropa,semua komoditi - all commodities,2002,254,526,28,0
401,Slovenia,Eropa,semua komoditi - all commodities,2002,27,37,29,0
402,Rusia,Eropa,semua komoditi - all commodities,2002,267,1716,30,0
403,Negara lainnya,Lainnya,semua komoditi - all commodities,2002,24795,31798,31,0
404,Jepang,Asia,semua komoditi - all commodities,2003,125601,666533.821,1,0
405,Hongkong,Asia,semua komoditi - all commodities,2003,29797,46016.128,2,0
406,Korea Selatan,Asia,semua komoditi - all commodities,2003,23622,25570.503,3,0
407,Taiwan,Asia,semua komoditi - all commodities,2003,38547,29790.594,4,0
408,Cina,Asia,semua komoditi - all commodities,2003,168108,70092.958,5,0
409,Thailand,Asia,semua komoditi - all commodities,2003,181948,36641.125,6,0
410,Singapura,Asia,semua komoditi - all commodities,2003,50842,57051.967,7,0
411,Filipina,Asia,semua komoditi - all commodities,2003,8172,5216.999,8,0
412,Malaysia,Asia,semua komoditi - all commodities,2003,40789,36884.785,9,0
413,Arab Saudi,Asia,semua komoditi - all commodities,2003,5726,12230.991,10,0
414,Yordania,Asia,semua komoditi - all commodities,2003,1549,3595.202,11,0
415,Mesir,Afrika,semua komoditi - all commodities,2003,5950,10370.315,12,0
416,Australia,Australia,semua komoditi - all commodities,2003,8593,18766.549,13,0
417,Amerika Serikat,Amerika,semua komoditi - all commodities,2003,69997,365664.619,14,0
418,Kanada,Amerika,semua komoditi - all commodities,2003,2664,11532.144,15,0
419,UK,Eropa,semua komoditi - all commodities,2003,13027,47705.141,16,0
420,Belanda,Eropa,semua komoditi - all commodities,2003,8956,26003.53,17,0
421,Perancis,Eropa,semua komoditi - all commodities,2003,8466,25749.231,18,0
422,Jerman,Eropa,semua komoditi - all commodities,2003,6171,21105.487,19,0
423,Belgia dan Luksemburg,Eropa,semua komoditi - all commodities,2003,13647,58970.102,20,0
424,Swedia,Eropa,semua komoditi - all commodities,2003,345,1874.231,21,0
425,Denmark,Eropa,semua komoditi - all commodities,2003,5125,6356.624,22,0
426,Irlandia,Eropa,semua komoditi - all commodities,2003,385,631.735,23,0
427,Italia,Eropa,semua komoditi - all commodities,2003,2570,7424.013,24,0
428,Spanyol,Eropa,semua komoditi - all commodities,2003,7847,11680.001,25,0
429,Yunani,Eropa,semua komoditi - all commodities,2003,217,532.805,26,0
430,Bulgaria,Eropa,semua komoditi - all commodities,2003,682,2148.245,27,0
431,Polandia,Eropa,semua komoditi - all commodities,2003,152,928.954,28,0
432,Slovenia,Eropa,semua komoditi - all commodities,2003,237,345.133,29,0
433,Rusia,Eropa,semua komoditi - all commodities,2003,407,2607.407,30,0
434,Negara lainnya,Lainnya,semua komoditi - all commodities,2003,28051,33521.02,31,0
435,Jepang,Asia,semua komoditi - all commodities,2004,115278.435,597340.288,1,0
436,Hongkong,Asia,semua komoditi - all commodities,2004,24768.814,54710.569,2,0
437,Korea Selatan,Asia,semua komoditi - all commodities,2004,36604.163,26892.53,3,0
438,Taiwan,Asia,semua komoditi - all commodities,2004,36487.174,31275.561,4,0
439,Cina,Asia,semua komoditi - all commodities,2004,196279.268,71371.319,5,0
440,Thailand,Asia,semua komoditi - all commodities,2004,161057.131,23670.919,6,0
441,Singapura,Asia,semua komoditi - all commodities,2004,54482.203,68804.32,7,0
442,Filipina,Asia,semua komoditi - all commodities,2004,11571.548,8037.539,8,0
443,Malaysia,Asia,semua komoditi - all commodities,2004,44092.509,39375.995,9,0
444,Arab Saudi,Asia,semua komoditi - all commodities,2004,5152.664,11842.397,10,0
445,Yordania,Asia,semua komoditi - all commodities,2004,2364.36,6327.384,11,0
446,Mesir,Afrika,semua komoditi - all commodities,2004,5277.189,9965.718,12,0
447,Australia,Australia,semua komoditi - all commodities,2004,5594.365,16045.52,13,0
448,Amerika Serikat,Amerika,semua komoditi - all commodities,2004,96212.482,527808.97,14,0
449,Kanada,Amerika,semua komoditi - all commodities,2004,2783.295,11815.666,15,0
450,UK,Eropa,semua komoditi - all commodities,2004,12388.748,43770.175,16,0
451,Belanda,Eropa,semua komoditi - all commodities,2004,9426.198,28657.248,17,0
452,Perancis,Eropa,semua komoditi - all commodities,2004,7079.332,19639.873,18,0
453,Jerman,Eropa,semua komoditi - all commodities,2004,9626.709,20588.794,19,0
454,Belgia dan Luksemburg,Eropa,semua komoditi - all commodities,2004,16059.498,70301.483,20,0
455,Swedia,Eropa,semua komoditi - all commodities,2004,336.452,1570.586,21,0
456,Denmark,Eropa,semua komoditi - all commodities,2004,7311.241,8585.322,22,0
457,Irlandia,Eropa,semua komoditi - all commodities,2004,136,361.222,23,0
458,Italia,Eropa,semua komoditi - all commodities,2004,5000.791,15484.59,24,0
459,Spanyol,Eropa,semua komoditi - all commodities,2004,11841.292,27378.773,25,0
460,Yunani,Eropa,semua komoditi - all commodities,2004,626.377,1459.004,26,0
461,Bulgaria,Eropa,semua komoditi - all commodities,2004,310.623,915.084,27,0
462,Polandia,Eropa,semua komoditi - all commodities,2004,562.55,1179.391,28,0
463,Slovenia,Eropa,semua komoditi - all commodities,2004,371,554.124,29,0
464,Rusia,Eropa,semua komoditi - all commodities,2004,319,1234.042,30,0
465,Negara lainnya,Lainnya,semua komoditi - all commodities,2004,23275.681,33868.401,31,0
466,Jepang,Asia,semua komoditi - all commodities,2005,109871,588841,1,0
467,Hongkong,Asia,semua komoditi - all commodities,2005,28860,63737,2,0
468,Korea Selatan,Asia,semua komoditi - all commodities,2005,30070,31098,3,0
469,Taiwan,Asia,semua komoditi - all commodities,2005,51181,33444,4,0
470,Cina,Asia,semua komoditi - all commodities,2005,192885,66038,5,0
471,Thailand,Asia,semua komoditi - all commodities,2005,63306,13327,6,0
472,Singapura,Asia,semua komoditi - all commodities,2005,61897,77920,7,0
473,Filipina,Asia,semua komoditi - all commodities,2005,17613,9452,8,0
474,Malaysia,Asia,semua komoditi - all commodities,2005,44485,34382,9,0
475,Arab Saudi,Asia,semua komoditi - all commodities,2005,7198,16837,10,0
476,Yordania,Asia,semua komoditi - all commodities,2005,1965,4813,11,0
477,Mesir,Afrika,semua komoditi - all commodities,2005,2718,5653,12,0
478,Australia,Australia,semua komoditi - all commodities,2005,7750,22696,13,0
479,Amerika Serikat,Amerika,semua komoditi - all commodities,2005,109123,591604,14,0
480,Kanada,Amerika,semua komoditi - all commodities,2005,4184,17699,15,0
481,UK,Eropa,semua komoditi - all commodities,2005,14365,61512,16,0
482,Belanda,Eropa,semua komoditi - all commodities,2005,10630,32712,17,0
483,Perancis,Eropa,semua komoditi - all commodities,2005,9193,25164,18,0
484,Jerman,Eropa,semua komoditi - all commodities,2005,11297,27363,19,0
485,Belgia dan Luksemburg,Eropa,semua komoditi - all commodities,2005,17028,81527,20,0
486,Swedia,Eropa,semua komoditi - all commodities,2005,321,1275,21,0
487,Denmark,Eropa,semua komoditi - all commodities,2005,4716,6740,22,0
488,Irlandia,Eropa,semua komoditi - all commodities,2005,0,0,23,0
489,Italia,Eropa,semua komoditi - all commodities,2005,7905,21504,24,0
490,Spanyol,Eropa,semua komoditi - all commodities,2005,7652,1106,25,0
491,Yunani,Eropa,semua komoditi - all commodities,2005,0,0,26,0
492,Bulgaria,Eropa,semua komoditi - all commodities,2005,0,0,27,0
493,Polandia,Eropa,semua komoditi - all commodities,2005,942,3163,28,0
494,Slovenia,Eropa,semua komoditi - all commodities,2005,0,0,29,0
495,Rusia,Eropa,semua komoditi - all commodities,2005,292,1211,30,0
496,Negara lainnya,Lainnya,semua komoditi - all commodities,2005,40626.526,72107.744,31,0
497,Jepang,Asia,semua komoditi - all commodities,2006,116006,630791,1,0
498,Hongkong,Asia,semua komoditi - all commodities,2006,41270,74375,2,0
499,Korea Selatan,Asia,semua komoditi - all commodities,2006,20571,28523,3,0
500,Taiwan,Asia,semua komoditi - all commodities,2006,27457,26181,4,0
501,Cina,Asia,semua komoditi - all commodities,2006,109338,55862,5,0
502,Thailand,Asia,semua komoditi - all commodities,2006,225106,43300,6,0
503,Singapura,Asia,semua komoditi - all commodities,2006,51238,69900,7,0
504,Filipina,Asia,semua komoditi - all commodities,2006,18325,9845,8,0
505,Malaysia,Asia,semua komoditi - all commodities,2006,39250,33944,9,0
506,Arab Saudi,Asia,semua komoditi - all commodities,2006,9242,22207,10,0
507,Yordania,Asia,semua komoditi - all commodities,2006,2644,6574,11,0
508,Mesir,Afrika,semua komoditi - all commodities,2006,245,705,12,0
509,Australia,Australia,semua komoditi - all commodities,2006,7656,28037,13,0
510,Amerika Serikat,Amerika,semua komoditi - all commodities,2006,121291,689882,14,0
511,Kanada,Amerika,semua komoditi - all commodities,2006,4223,15197,15,0
512,UK,Eropa,semua komoditi - all commodities,2006,14853,76836,16,0
513,Belanda,Eropa,semua komoditi - all commodities,2006,9092,30948,17,0
514,Perancis,Eropa,semua komoditi - all commodities,2006,5634,16068,18,0
515,Jerman,Eropa,semua komoditi - all commodities,2006,9058,25654,19,0
516,Belgia dan Luksemburg,Eropa,semua komoditi - all commodities,2006,18536,97244,20,0
517,Swedia,Eropa,semua komoditi - all commodities,2006,214,1521,21,0
518,Denmark,Eropa,semua komoditi - all commodities,2006,2802,3851,22,0
519,Irlandia,Eropa,semua komoditi - all commodities,2006,18,36,23,0
520,Italia,Eropa,semua komoditi - all commodities,2006,7039,19838,24,0
521,Spanyol,Eropa,semua komoditi - all commodities,2006,6820,9175,25,0
522,Yunani,Eropa,semua komoditi - all commodities,2006,129,410,26,0
523,Bulgaria,Eropa,semua komoditi - all commodities,2006,301,614,27,0
524,Polandia,Eropa,semua komoditi - all commodities,2006,603,2197,28,0
525,Slovenia,Eropa,semua komoditi - all commodities,2006,200,316,29,0
526,Rusia,Eropa,semua komoditi - all commodities,2006,1186,2355,30,0
527,Negara lainnya,Lainnya,semua komoditi - all commodities,2006,57316.608,81084.984,31,0
528,Jepang,Asia,semua komoditi - all commodities,2007,117111.985,590434.382,1,0
529,Hongkong,Asia,semua komoditi - all commodities,2007,54974.348,100951.63,2,0
530,Korea Selatan,Asia,semua komoditi - all commodities,2007,28723.385,51139.256,3,0
531,Taiwan,Asia,semua komoditi - all commodities,2007,32118.818,27510.351,4,0
532,Cina,Asia,semua komoditi - all commodities,2007,59103.929,37501.79,5,0
533,Thailand,Asia,semua komoditi - all commodities,2007,111526.574,55022.169,6,0
534,Singapura,Asia,semua komoditi - all commodities,2007,54526.574,73599.117,7,0
535,Filipina,Asia,semua komoditi - all commodities,2007,23162.453,11881.92,8,0
536,Malaysia,Asia,semua komoditi - all commodities,2007,49983.726,51551.757,9,0
537,Arab Saudi,Asia,semua komoditi - all commodities,2007,11457.232,30461.406,10,0
538,Yordania,Asia,semua komoditi - all commodities,2007,2932.787,8442.952,11,0
539,Mesir,Afrika,semua komoditi - all commodities,2007,2107.122,5738.882,12,0
540,Australia,Australia,semua komoditi - all commodities,2007,7440.519,24441.305,13,0
541,Amerika Serikat,Amerika,semua komoditi - all commodities,2007,125789.33,762263.525,14,0
542,Kanada,Amerika,semua komoditi - all commodities,2007,4465.923,16804.376,15,0
543,UK,Eropa,semua komoditi - all commodities,2007,12975.995,67335.303,16,0
544,Belanda,Eropa,semua komoditi - all commodities,2007,10640.264,31355.968,17,0
545,Perancis,Eropa,semua komoditi - all commodities,2007,6649.354,14971.684,18,0
546,Jerman,Eropa,semua komoditi - all commodities,2007,11598.004,32709.603,19,0
547,Belgia dan Luksemburg,Eropa,semua komoditi - all commodities,2007,18025.342,96078.459,20,0
548,Swedia,Eropa,semua komoditi - all commodities,2007,388.108,4054.386,21,0
549,Denmark,Eropa,semua komoditi - all commodities,2007,2740.404,4928.187,22,0
550,Irlandia,Eropa,semua komoditi - all commodities,2007,29.974,29.974,23,0
551,Italia,Eropa,semua komoditi - all commodities,2007,7372.534,21607.81,24,0
552,Spanyol,Eropa,semua komoditi - all commodities,2007,6011.535,7851.619,25,0
553,Yunani,Eropa,semua komoditi - all commodities,2007,281.481,908.324,26,0
554,Bulgaria,Eropa,semua komoditi - all commodities,2007,311.967,688.933,27,0
555,Polandia,Eropa,semua komoditi - all commodities,2007,299.366,1077.246,28,0
556,Slovenia,Eropa,semua komoditi - all commodities,2007,99.41,197.843,29,0
557,Rusia,Eropa,semua komoditi - all commodities,2007,1772.197,4928.187,30,0
558,Negara lainnya,Lainnya,semua komoditi - all commodities,2007,89707.24,122451.349,31,0
559,Jepang,Asia,semua komoditi - all commodities,2008,117181.982,616731.958,1,0
560,Hongkong,Asia,semua komoditi - all commodities,2008,30549.513,86016.881,2,0
561,Korea Selatan,Asia,semua komoditi - all commodities,2008,33985.734,62010.155,3,0
562,Taiwan,Asia,semua komoditi - all commodities,2008,30361.318,38148.018,4,0
563,Cina,Asia,semua komoditi - all commodities,2008,121264.002,100403.426,5,0
564,Thailand,Asia,semua komoditi - all commodities,2008,99738.207,98352.728,6,0
565,Singapura,Asia,semua komoditi - all commodities,2008,45400.635,79057.324,7,0
566,Filipina,Asia,semua komoditi - all commodities,2008,21989.066,30625.906,8,0
567,Malaysia,Asia,semua komoditi - all commodities,2008,57159.847,62760.016,9,0
568,Arab Saudi,Asia,semua komoditi - all commodities,2008,9915.134,36950.105,10,0
569,Yordania,Asia,semua komoditi - all commodities,2008,1591.835,6077.374,11,0
570,Mesir,Afrika,semua komoditi - all commodities,2008,2291.728,5914.599,12,0
571,Australia,Australia,semua komoditi - all commodities,2008,6703.574,29743.235,13,0
572,Amerika Serikat,Amerika,semua komoditi - all commodities,2008,139128.47,937220.811,14,0
573,Kanada,Amerika,semua komoditi - all commodities,2008,3374.589,15328.513,15,0
574,UK,Eropa,semua komoditi - all commodities,2008,13167.34,76994.903,16,0
575,Belanda,Eropa,semua komoditi - all commodities,2008,12914.931,47395.972,17,0
576,Perancis,Eropa,semua komoditi - all commodities,2008,7795.937,18428.743,18,0
577,Jerman,Eropa,semua komoditi - all commodities,2008,9935.383,36748.631,19,0
578,Belgia dan Luksemburg,Eropa,semua komoditi - all commodities,2008,15777.957,91002.697,20,0
579,Swedia,Eropa,semua komoditi - all commodities,2008,330.288,1659.506,21,0
580,Denmark,Eropa,semua komoditi - all commodities,2008,2491.585,3855.601,22,0
581,Irlandia,Eropa,semua komoditi - all commodities,2008,233.878,1816.587,23,0
582,Italia,Eropa,semua komoditi - all commodities,2008,10384.065,29905.666,24,0
583,Spanyol,Eropa,semua komoditi - all commodities,2008,2638.787,5979.639,25,0
584,Yunani,Eropa,semua komoditi - all commodities,2008,490.654,1499.504,26,0
585,Bulgaria,Eropa,semua komoditi - all commodities,2008,489.094,1459.242,27,0
586,Polandia,Eropa,semua komoditi - all commodities,2008,158.433,963.198,28,0
587,Slovenia,Eropa,semua komoditi - all commodities,2008,206.694,507.924,29,0
588,Rusia,Eropa,semua komoditi - all commodities,2008,3870.812,8468.683,30,0
589,Negara lainnya,Lainnya,semua komoditi - all commodities,2008,110152.947,137655.455,31,0
590,Jepang,Asia,semua komoditi - all commodities,2009,118638.512,617775.438,1,0
591,Hongkong,Asia,semua komoditi - all commodities,2009,24199.75,89476.179,2,0
592,Korea Selatan,Asia,semua komoditi - all commodities,2009,31871.458,51851.315,3,0
593,Taiwan,Asia,semua komoditi - all commodities,2009,31328.548,39206.865,4,0
594,Cina,Asia,semua komoditi - all commodities,2009,149280.17,97036.286,5,0
595,Thailand,Asia,semua komoditi - all commodities,2009,78653.205,61195.908,6,0
596,Singapura,Asia,semua komoditi - all commodities,2009,44215.486,74505.768,7,0
597,Filipina,Asia,semua komoditi - all commodities,2009,8135.483,10231.175,8,0
598,Malaysia,Asia,semua komoditi - all commodities,2009,56722.477,58422.834,9,0
599,Arab Saudi,Asia,semua komoditi - all commodities,2009,12172.746,48373.306,10,0
600,Yordania,Asia,semua komoditi - all commodities,2009,1978.393,6337.898,11,0
601,Mesir,Afrika,semua komoditi - all commodities,2009,3714.452,8601.093,12,0
602,Australia,Australia,semua komoditi - all commodities,2009,8495.273,39310.612,13,0
603,Amerika Serikat,Amerika,semua komoditi - all commodities,2009,125928.768,772650.416,14,0
604,Kanada,Amerika,semua komoditi - all commodities,2009,3026.397,13515.269,15,0
605,UK,Eropa,semua komoditi - all commodities,2009,11785.119,65875.695,16,0
606,Belanda,Eropa,semua komoditi - all commodities,2009,13411.274,51021.918,17,0
607,Perancis,Eropa,semua komoditi - all commodities,2009,9165.479,29028.078,18,0
608,Jerman,Eropa,semua komoditi - all commodities,2009,11876.085,39968.34,19,0
609,Belgia dan Luksemburg,Eropa,semua komoditi - all commodities,2009,12779.546,67791.102,20,0
610,Swedia,Eropa,semua komoditi - all commodities,2009,184.414,1596.527,21,0
611,Denmark,Eropa,semua komoditi - all commodities,2009,1063.111,3123.382,22,0
612,Irlandia,Eropa,semua komoditi - all commodities,2009,23.346,53.035,23,0
613,Italia,Eropa,semua komoditi - all commodities,2009,9245.011,25752.544,24,0
614,Spanyol,Eropa,semua komoditi - all commodities,2009,2750.333,4411.86,25,0
615,Yunani,Eropa,semua komoditi - all commodities,2009,290.694,718.228,26,0
616,Bulgaria,Eropa,semua komoditi - all commodities,2009,307.259,945.017,27,0
617,Polandia,Eropa,semua komoditi - all commodities,2009,129.595,613.408,28,0
618,Slovenia,Eropa,semua komoditi - all commodities,2009,239.569,568.332,29,0
619,Rusia,Eropa,semua komoditi - all commodities,2009,1568.323,6028.657,30,0
620,Negara lainnya,Lainnya,semua komoditi - all commodities,2009,108232.555,180215.07,31,0
621,Jepang,Asia,semua komoditi - all commodities,2010,126514.056,691749.085,1,0
622,Hongkong,Asia,semua komoditi - all commodities,2010,26978.147,118774.914,2,0
623,Korea Selatan,Asia,semua komoditi - all commodities,2010,31542.517,50299.112,3,0
624,Taiwan,Asia,semua komoditi - all commodities,2010,39187.758,46182.323,4,0
625,Cina,Asia,semua komoditi - all commodities,2010,213055.013,150371.05,5,0
626,Thailand,Asia,semua komoditi - all commodities,2010,193723.263,98666.113,6,0
627,Singapura,Asia,semua komoditi - all commodities,2010,44750.914,80143.166,7,0
628,Filipina,Asia,semua komoditi - all commodities,2010,14260.978,21489.62,8,0
629,Malaysia,Asia,semua komoditi - all commodities,2010,53353.275,60860.05,9,0
630,Arab Saudi,Asia,semua komoditi - all commodities,2010,14827.961,66411.535,10,0
631,Yordania,Asia,semua komoditi - all commodities,2010,3492.256,11239.262,11,0
632,Mesir,Afrika,semua komoditi - all commodities,2010,2828.627,5030.42,12,0
633,Australia,Australia,semua komoditi - all commodities,2010,6910.414,34165.918,13,0
634,Amerika Serikat,Amerika,semua komoditi - all commodities,2010,127792.33,869858.295,14,0
635,Kanada,Amerika,semua komoditi - all commodities,2010,3094.863,16562.487,15,0
636,UK,Eropa,semua komoditi - all commodities,2010,11400.601,70739.543,16,0
637,Belanda,Eropa,semua komoditi - all commodities,2010,10391.759,48886.252,17,0
638,Perancis,Eropa,semua komoditi - all commodities,2010,9002.643,32996.689,18,0
639,Jerman,Eropa,semua komoditi - all commodities,2010,10488.413,35026.29,19,0
640,Belgia dan Luksemburg,Eropa,semua komoditi - all commodities,2010,10665.591,58121.246,20,0
641,Swedia,Eropa,semua komoditi - all commodities,2010,256.748,2217.226,21,0
642,Denmark,Eropa,semua komoditi - all commodities,2010,2279.125,4533.236,22,0
643,Irlandia,Eropa,semua komoditi - all commodities,2010,6.077,24.575,23,0
644,Italia,Eropa,semua komoditi - all commodities,2010,11733.75,34419.186,24,0
645,Spanyol,Eropa,semua komoditi - all commodities,2010,2269.538,6632.928,25,0
646,Yunani,Eropa,semua komoditi - all commodities,2010,409.086,1250.811,26,0
647,Bulgaria,Eropa,semua komoditi - all commodities,2010,227.623,594.954,27,0
648,Polandia,Eropa,semua komoditi - all commodities,2010,346.984,1140.445,28,0
649,Slovenia,Eropa,semua komoditi - all commodities,2010,31.746,82.864,29,0
650,Rusia,Eropa,semua komoditi - all commodities,2010,4985.291,18729.863,30,0
651,Negara lainnya,Lainnya,semua komoditi - all commodities,2010,126768.326,226631.208,31,0
652,Jepang,Asia,semua komoditi - all commodities,2011,123830,806060.091,1,0
653,Hongkong,Asia,semua komoditi - all commodities,2011,21699,92680.25,2,0
654,Korea Selatan,Asia,semua komoditi - all commodities,2011,32662.439,70478.491,3,0
655,Taiwan,Asia,semua komoditi - all commodities,2011,31143.731,47049.875,4,0
656,Cina,Asia,semua komoditi - all commodities,2011,242397.24,220998.192,5,0
657,Thailand,Asia,semua komoditi - all commodities,2011,160470.88,112550.166,6,0
658,Singapura,Asia,semua komoditi - all commodities,2011,65926.019,82309.575,7,0
659,Filipina,Asia,semua komoditi - all commodities,2011,11853.342,16744.688,8,0
660,Malaysia,Asia,semua komoditi - all commodities,2011,54884.753,77444.44,9,0
661,Arab Saudi,Asia,semua komoditi - all commodities,2011,17210.666,85719.631,10,0
662,Yordania,Asia,semua komoditi - all commodities,2011,2654.011,11211.403,11,0
663,Mesir,Afrika,semua komoditi - all commodities,2011,5238.204,10472.434,12,0
664,Australia,Australia,semua komoditi - all commodities,2011,5484.147,35519.482,13,0
665,Amerika Serikat,Amerika,semua komoditi - all commodities,2011,126930.543,1070484.381,14,0
666,Kanada,Amerika,semua komoditi - all commodities,2011,3682.968,24604.05,15,0
667,UK,Eropa,semua komoditi - all commodities,2011,11454.224,70023.641,16,0
668,Belanda,Eropa,semua komoditi - all commodities,2011,12544.867,61587.33,17,0
669,Perancis,Eropa,semua komoditi - all commodities,2011,8547.659,31624.837,18,0
670,Jerman,Eropa,semua komoditi - all commodities,2011,16453.015,62575.895,19,0
671,Belgia dan Luksemburg,Eropa,semua komoditi - all commodities,2011,10304.906,61771.64,20,0
672,Swedia,Eropa,semua komoditi - all commodities,2011,294.816,2563.386,21,0
673,Denmark,Eropa,semua komoditi - all commodities,2011,1841.036,6244.128,22,0
674,Irlandia,Eropa,semua komoditi - all commodities,2011,44.99,124.728,23,0
675,Italia,Eropa,semua komoditi - all commodities,2011,15365.241,69219.388,24,0
676,Spanyol,Eropa,semua komoditi - all commodities,2011,11875.576,39552.53,25,0
677,Yunani,Eropa,semua komoditi - all commodities,2011,614.746,3642.266,26,0
678,Bulgaria,Eropa,semua komoditi - all commodities,2011,192.593,533.152,27,0
679,Polandia,Eropa,semua komoditi - all commodities,2011,491.369,2105.144,28,0
680,Slovenia,Eropa,semua komoditi - all commodities,2011,68.687,213.725,29,0
681,Rusia,Eropa,semua komoditi - all commodities,2011,4221.085,23092.873,30,0
682,Negara lainnya,Lainnya,semua komoditi - all commodities,2011,158966.247,321889.188,31,0
683,Jepang,Asia,udang - shrimp,2001,59558.808,564997.932,1,1
684,Hongkong,Asia,udang - shrimp,2001,6547.336,28407.048,2,1
685,Korea Selatan,Asia,udang - shrimp,2001,522.292,2418.352,3,1
686,Taiwan,Asia,udang - shrimp,2001,2506.255,8057.617,4,1
687,Cina,Asia,udang - shrimp,2001,1610.769,7761.533,5,1
688,Thailand,Asia,udang - shrimp,2001,1372.82,6116.883,6,1
689,Singapura,Asia,udang - shrimp,2001,7827.113,21217.142,7,1
690,Filipina,Asia,udang - shrimp,2001,8,34,8,1
691,Malaysia,Asia,udang - shrimp,2001,8881.837,8289.657,9,1
692,Arab Saudi,Asia,udang - shrimp,2001,6,11,10,1
693,Yordania,Asia,udang - shrimp,2001,10,98,11,1
694,Mesir,Afrika,udang - shrimp,2001,2,2,12,1
695,Australia,Australia,udang - shrimp,2001,1451.22,7405.354,13,1
696,Amerika Serikat,Amerika,udang - shrimp,2001,16152.848,144295.411,14,1
697,Kanada,Amerika,udang - shrimp,2001,1241.785,6856.784,15,1
698,UK,Eropa,udang - shrimp,2001,6045.95,39199.075,16,1
699,Belanda,Eropa,udang - shrimp,2001,6517.355,32246.149,17,1
700,Perancis,Eropa,udang - shrimp,2001,2018.703,13870.268,18,1
701,Jerman,Eropa,udang - shrimp,2001,1634.53,13428.418,19,1
702,Belgia dan Luksemburg,Eropa,udang - shrimp,2001,1913.885,12851.258,20,1
703,Swedia,Eropa,udang - shrimp,2001,326.571,2163,21,1
704,Denmark,Eropa,udang - shrimp,2001,316.999,2831.147,22,1
705,Irlandia,Eropa,udang - shrimp,2001,108,878,23,1
706,Italia,Eropa,udang - shrimp,2001,823.205,2969.872,24,1
707,Spanyol,Eropa,udang - shrimp,2001,224.815,1293.396,25,1
708,Yunani,Eropa,udang - shrimp,2001,22,149,26,1
709,Bulgaria,Eropa,udang - shrimp,2001,76,491,27,1
710,Polandia,Eropa,udang - shrimp,2001,8,11,28,1
711,Slovenia,Eropa,udang - shrimp,2001,0,0,29,1
712,Rusia,Eropa,udang - shrimp,2001,117,966,30,1
713,Negara lainnya,Lainnya,udang - shrimp,2001,2969.352,10054.326,31,1
714,Jepang,Asia,udang - shrimp,2002,59618,506565,1,1
715,Hongkong,Asia,udang - shrimp,2002,6271,19973,2,1
716,Korea Selatan,Asia,udang - shrimp,2002,885,3529,3,1
717,Taiwan,Asia,udang - shrimp,2002,2467,6184,4,1
718,Cina,Asia,udang - shrimp,2002,1171,6333,5,1
719,Thailand,Asia,udang - shrimp,2002,2878,9543,6,1
720,Singapura,Asia,udang - shrimp,2002,6268,15951,7,1
721,Filipina,Asia,udang - shrimp,2002,39,97,8,1
722,Malaysia,Asia,udang - shrimp,2002,8052,9332,9,1
723,Arab Saudi,Asia,udang - shrimp,2002,1,3,10,1
724,Yordania,Asia,udang - shrimp,2002,11,106,11,1
725,Mesir,Afrika,udang - shrimp,2002,0,0,12,1
726,Australia,Australia,udang - shrimp,2002,1004,5055,13,1
727,Amerika Serikat,Amerika,udang - shrimp,2002,16837,137082,14,1
728,Kanada,Amerika,udang - shrimp,2002,1425,11018,15,1
729,UK,Eropa,udang - shrimp,2002,5038,33699,16,1
730,Belanda,Eropa,udang - shrimp,2002,1740,9639,17,1
731,Perancis,Eropa,udang - shrimp,2002,1006,6364,18,1
732,Jerman,Eropa,udang - shrimp,2002,1177,8748,19,1
733,Belgia dan Luksemburg,Eropa,udang - shrimp,2002,5198,28215,20,1
734,Swedia,Eropa,udang - shrimp,2002,189,1082,21,1
735,Denmark,Eropa,udang - shrimp,2002,266,2156,22,1
736,Irlandia,Eropa,udang - shrimp,2002,146,1285,23,1
737,Italia,Eropa,udang - shrimp,2002,493,1937,24,1
738,Spanyol,Eropa,udang - shrimp,2002,646,2765,25,1
739,Yunani,Eropa,udang - shrimp,2002,0,0,26,1
740,Bulgaria,Eropa,udang - shrimp,2002,1,736,27,1
741,Polandia,Eropa,udang - shrimp,2002,0,0,28,1
742,Slovenia,Eropa,udang - shrimp,2002,0,0,29,1
743,Rusia,Eropa,udang - shrimp,2002,211,1386,30,1
744,Negara lainnya,Lainnya,udang - shrimp,2002,3228.279,10941,31,1
745,Jepang,Asia,udang - shrimp,2003,60234.608,473953.071,1,1
