ID,NamaProvinsi,Wilayah,NamaKomoditi,Tahun,Volume,Nilai,ProvinsiID,KomoditiID
78,Jawa Barat,Jawa,semua komoditi - all commodities,2002,8.916,8.925,32,0
79,Jawa Tengah,Jawa,semua komoditi - all commodities,2002,854.154,349.208,33,0
80,DI Yogyakarta,Jawa,semua komoditi - all commodities,2002,0,0,34,0
81,Jawa Timur,Jawa,semua komoditi - all commodities,2002,0,0,35,0
82,Banten,Jawa,semua komoditi - all commodities,2002,582.309,324.324,36,0
83,Bali,Bali - Nusa Tenggara,semua komoditi - all commodities,2002,577.371,322.48,51,0
84,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua komoditi - all commodities,2002,4.938,1.844,52,0
85,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua komoditi - all commodities,2002,0,0,53,0
86,Kalimantan Barat,Kalimantan,semua komoditi - all commodities,2002,1914.015,837.161,61,0
87,Kalimantan Tengah,Kalimantan,semua komoditi - all commodities,2002,0,0,62,0
88,Kalimantan Selatan,Kalimantan,semua komoditi - all commodities,2002,27.44,15.443,63,0
89,Kalimantan Timur,Kalimantan,semua komoditi - all commodities,2002,5.353,5.392,64,0
90,Sulawesi Utara,Sulawesi,semua komoditi - all commodities,2002,0,0,71,0
91,Sulawesi Tenggara,Sulawesi,semua komoditi - all commodities,2002,8.581,0,74,0
92,Sulawesi Selatan,Sulawesi,semua komoditi - all commodities,2002,8.581,5.604,73,0
94,Gorontalo,Sulawesi,semua komoditi - all commodities,2002,602.894,459.253,75,0
95,Sulawesi Barat,Sulawesi,semua komoditi - all commodities,2002,0,0,76,0
96,Maluku,Maluku - Papua,semua komoditi - all commodities,2002,0,0,81,0
97,Maluku Utara,Maluku - Papua,semua komoditi - all commodities,2002,0,0,82,0
98,Papua Barat,Maluku - Papua,semua komoditi - all commodities,2002,0,0,91,0
99,Papua,Maluku - Papua,semua komoditi - all commodities,2002,602.894,459.253,94,0
100,Aceh,Sumatera,semua komoditi - all commodities,2003,0,0,11,0
101,Sumatera Utara,Sumatera,semua komoditi - all commodities,2003,17236.924,9556.202,12,0
102,Sumatera Barat,Sumatera,semua komoditi - all commodities,2003,0,0,13,0
103,Riau,Sumatera,semua komoditi - all commodities,2003,458.976,1761.917,14,0
104,Jambi,Sumatera,semua komoditi - all commodities,2003,3,2.222,15,0
105,Sumatera Selatan,Sumatera,semua komoditi - all commodities,2003,11.515,39.645,16,0
106,Bengkulu,Sumatera,semua komoditi - all commodities,2003,0,0,17,0
107,Lampung,Sumatera,semua komoditi - all commodities,2003,0,0,18,0
108,Kepulauan Bangka Belitung,Sumatera,semua komoditi - all commodities,2003,82437.237,75121.261,19,0
109,Kepulauan Riau,Sumatera,semua komoditi - all commodities,2003,2.885,19.109,21,0
110,DKI Jakarta,Jawa,semua komoditi - all commodities,2003,57217.164,48068.19,31,0
111,Jawa Barat,Jawa,semua komoditi - all commodities,2003,0,0,32,0
112,Jawa Tengah,Jawa,semua komoditi - all commodities,2003,2179.517,843.946,33,0
113,DI Yogyakarta,Jawa,semua komoditi - all commodities,2003,288,462,34,0
114,Jawa Timur,Jawa,semua komoditi - all commodities,2003,288,462,35,0
115,Banten,Jawa,semua komoditi - all commodities,2003,3021.332,1423.711,36,0
116,Bali,Bali - Nusa Tenggara,semua komoditi - all commodities,2003,3021.332,1423.711,51,0
117,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua komoditi - all commodities,2003,0,0,52,0
118,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua komoditi - all commodities,2003,0,0,53,0
119,Kalimantan Barat,Kalimantan,semua komoditi - all commodities,2003,1771.832,701.61,61,0
120,Kalimantan Tengah,Kalimantan,semua komoditi - all commodities,2003,0.3,0.615,62,0
121,Kalimantan Selatan,Kalimantan,semua komoditi - all commodities,2003,0,0,63,0
122,Kalimantan Timur,Kalimantan,semua komoditi - all commodities,2003,1.025,5.328,64,0
123,Sulawesi Utara,Sulawesi,semua komoditi - all commodities,2003,10.781,11.376,71,0
124,Sulawesi Tenggara,Sulawesi,semua komoditi - all commodities,2003,363.615,0,74,0
125,Sulawesi Selatan,Sulawesi,semua komoditi - all commodities,2003,363.615,203.637,73,0
127,Gorontalo,Sulawesi,semua komoditi - all commodities,2003,38.746,58.341,75,0
128,Sulawesi Barat,Sulawesi,semua komoditi - all commodities,2003,0,0,76,0
129,Maluku,Maluku - Papua,semua komoditi - all commodities,2003,0,0,81,0
130,Maluku Utara,Maluku - Papua,semua komoditi - all commodities,2003,0,0,82,0
131,Papua Barat,Maluku - Papua,semua komoditi - all commodities,2003,0,0,91,0
132,Papua,Maluku - Papua,semua komoditi - all commodities,2003,38.746,58.341,94,0
133,Aceh,Sumatera,semua komoditi - all commodities,2004,0,0,11,0
134,Sumatera Utara,Sumatera,semua komoditi - all commodities,2004,13735.358,9772.409,12,0
135,Sumatera Barat,Sumatera,semua komoditi - all commodities,2004,0,0,13,0
136,Riau,Sumatera,semua komoditi - all commodities,2004,1895.116,1043.726,14,0
137,Jambi,Sumatera,semua komoditi - all commodities,2004,0,0,15,0
138,Sumatera Selatan,Sumatera,semua komoditi - all commodities,2004,86,29.255,16,0
139,Bengkulu,Sumatera,semua komoditi - all commodities,2004,0,0,17,0
140,Lampung,Sumatera,semua komoditi - all commodities,2004,8389.722,5485.909,18,0
141,Kepulauan Bangka Belitung,Sumatera,semua komoditi - all commodities,2004,0,0,19,0
142,Kepulauan Riau,Sumatera,semua komoditi - all commodities,2004,0,0,21,0
143,DKI Jakarta,Jawa,semua komoditi - all commodities,2004,67724.842,55284.761,31,0
144,Jawa Barat,Jawa,semua komoditi - all commodities,2004,0,0,32,0
145,Jawa Tengah,Jawa,semua komoditi - all commodities,2004,3015.023,2944.235,33,0
146,DI Yogyakarta,Jawa,semua komoditi - all commodities,2004,0,0,34,0
147,Jawa Timur,Jawa,semua komoditi - all commodities,2004,38600.857,77848.059,35,0
148,Banten,Jawa,semua komoditi - all commodities,2004,100.419,50.703,36,0
149,Bali,Bali - Nusa Tenggara,semua komoditi - all commodities,2004,1309.737,756.397,51,0
150,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua komoditi - all commodities,2004,38.221,212.372,52,0
151,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua komoditi - all commodities,2004,0,0,53,0
152,Kalimantan Barat,Kalimantan,semua komoditi - all commodities,2004,879.945,380.231,61,0
153,Kalimantan Tengah,Kalimantan,semua komoditi - all commodities,2004,0,0,62,0
154,Kalimantan Selatan,Kalimantan,semua komoditi - all commodities,2004,0.755,0.531,63,0
155,Kalimantan Timur,Kalimantan,semua komoditi - all commodities,2004,108.466,88.396,64,0
156,Sulawesi Utara,Sulawesi,semua komoditi - all commodities,2004,0,0,71,0
157,Sulawesi Tenggara,Sulawesi,semua komoditi - all commodities,2004,0,0,74,0
158,Sulawesi Selatan,Sulawesi,semua komoditi - all commodities,2004,129.628,82.086,73,0
160,Gorontalo,Sulawesi,semua komoditi - all commodities,2004,0,0,75,0
161,Sulawesi Barat,Sulawesi,semua komoditi - all commodities,2004,0,0,76,0
162,Maluku,Maluku - Papua,semua komoditi - all commodities,2004,0,0,81,0
163,Maluku Utara,Maluku - Papua,semua komoditi - all commodities,2004,0,0,82,0
164,Papua Barat,Maluku - Papua,semua komoditi - all commodities,2004,0,0,91,0
165,Papua,Maluku - Papua,semua komoditi - all commodities,2004,26.06,52.604,94,0
166,Aceh,Sumatera,semua komoditi - all commodities,2005,0,0,11,0
167,Sumatera Utara,Sumatera,semua komoditi - all commodities,2005,20934.542,13420.804,12,0
168,Sumatera Barat,Sumatera,semua komoditi - all commodities,2005,0,0,13,0
169,Riau,Sumatera,semua komoditi - all commodities,2005,5772.842,4194.485,14,0
170,Jambi,Sumatera,semua komoditi - all commodities,2005,132.109,369.437,15,0
171,Sumatera Selatan,Sumatera,semua komoditi - all commodities,2005,0,0,16,0
172,Bengkulu,Sumatera,semua komoditi - all commodities,2005,0,0,17,0
173,Lampung,Sumatera,semua komoditi - all commodities,2005,12632.674,9274.261,18,0
174,Kepulauan Bangka Belitung,Sumatera,semua komoditi - all commodities,2005,0,0,19,0
175,Kepulauan Riau,Sumatera,semua komoditi - all commodities,2005,0,0,21,0
176,DKI Jakarta,Jawa,semua komoditi - all commodities,2005,73298.899,64420.716,31,0
177,Jawa Barat,Jawa,semua komoditi - all commodities,2005,6.443,4.767,32,0
178,Jawa Tengah,Jawa,semua komoditi - all commodities,2005,1579.159,2478.9,33,0
179,DI Yogyakarta,Jawa,semua komoditi - all commodities,2005,2.067,44.625,34,0
180,Jawa Timur,Jawa,semua komoditi - all commodities,2005,34014.808,30875.945,35,0
181,Banten,Jawa,semua komoditi - all commodities,2005,9.126,45.047,36,0
182,Bali,Bali - Nusa Tenggara,semua komoditi - all commodities,2005,1234.991,976.994,51,0
183,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua komoditi - all commodities,2005,0,0,52,0
184,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua komoditi - all commodities,2005,0,0,53,0
185,Kalimantan Barat,Kalimantan,semua komoditi - all commodities,2005,820.996,345.41,61,0
186,Kalimantan Tengah,Kalimantan,semua komoditi - all commodities,2005,0,0,62,0
187,Kalimantan Selatan,Kalimantan,semua komoditi - all commodities,2005,83.434,63.689,63,0
188,Kalimantan Timur,Kalimantan,semua komoditi - all commodities,2005,116.664,53.041,64,0
189,Sulawesi Utara,Sulawesi,semua komoditi - all commodities,2005,0,0,71,0
190,Sulawesi Tenggara,Sulawesi,semua komoditi - all commodities,2005,0,0,74,0
191,Sulawesi Selatan,Sulawesi,semua komoditi - all commodities,2005,271.396,0,73,0
193,Gorontalo,Sulawesi,semua komoditi - all commodities,2005,0,0,75,0
194,Sulawesi Barat,Sulawesi,semua komoditi - all commodities,2005,0,0,76,0
195,Maluku,Maluku - Papua,semua komoditi - all commodities,2005,0,0,81,0
196,Maluku Utara,Maluku - Papua,semua komoditi - all commodities,2005,0,0,82,0
197,Papua Barat,Maluku - Papua,semua komoditi - all commodities,2005,0,0,91,0
198,Papua,Maluku - Papua,semua komoditi - all commodities,2005,97.738,181.425,94,0
199,Aceh,Sumatera,semua komoditi - all commodities,2006,0,0,11,0
200,Sumatera Utara,Sumatera,semua komoditi - all commodities,2006,20393.898,16226.981,12,0
201,Sumatera Barat,Sumatera,semua komoditi - all commodities,2006,0,0,13,0
202,Riau,Sumatera,semua komoditi - all commodities,2006,6116.712,4961.32,14,0
203,Jambi,Sumatera,semua komoditi - all commodities,2006,800.464,271.132,15,0
204,Sumatera Selatan,Sumatera,semua komoditi - all commodities,2006,21.276,142.497,16,0
205,Bengkulu,Sumatera,semua komoditi - all commodities,2006,0,0,17,0
206,Lampung,Sumatera,semua komoditi - all commodities,2006,12274.369,11783.811,18,0
207,Kepulauan Bangka Belitung,Sumatera,semua komoditi - all commodities,2006,0.148,0.185,19,0
208,Kepulauan Riau,Sumatera,semua komoditi - all commodities,2006,0,0,21,0
209,DKI Jakarta,Jawa,semua komoditi - all commodities,2006,93206.326,88790.574,31,0
210,Jawa Barat,Jawa,semua komoditi - all commodities,2006,0.262,0.959,32,0
211,Jawa Tengah,Jawa,semua komoditi - all commodities,2006,2260.617,2374.833,33,0
